timestamp,days_from_20160101,stimchoice1,stimchoice2,stimchosen,correctidx,correct_stim,is_choice_color,chose_correct
1459428277145,90.53098547453703,2,9,9,2,9,1,1
1459428396246,90.53236395833332,7,14,14,2,14,1,1
1459428656979,90.53538170138889,7,10,10,2,10,0,1
1459429241874,90.54215131944444,1,7,1,1,1,0,1
1459429460139,90.54467753472224,3,7,7,2,7,1,1
1459429502888,90.54517231481482,10,6,6,2,6,0,1
1459429505155,90.54519855324074,14,8,14,1,14,0,1
1459429590160,90.5461824074074,10,13,13,2,13,0,1
1459429599930,90.5462954861111,7,8,7,1,7,1,1
1459429602036,90.54631986111112,10,9,9,2,9,1,1
1459429644636,90.54681291666668,4,9,4,2,9,1,0
1459429654081,90.5469222337963,12,14,12,1,12,0,1
1459429711050,90.54758159722222,5,9,5,1,5,0,1
1459429831265,90.54897297453704,13,11,13,1,13,0,1
1459429835676,90.54902402777778,10,10,10,1,10,1,1
1459429841962,90.54909678240742,7,5,7,1,7,1,1
1459430060833,90.55163001157408,4,10,10,2,10,0,1
1459430131668,90.5524498611111,3,6,6,2,6,1,1
1459430192881,90.5531583449074,12,11,12,1,12,0,1
1459430212126,90.55338108796296,8,5,8,1,8,0,1
1459430254031,90.55386609953705,2,4,2,1,2,1,1
1459430780272,90.55995685185184,13,5,5,2,5,1,1
1459430809477,90.5602948726852,1,2,1,1,1,1,1
1459430902217,90.56136825231482,3,13,13,2,13,1,1
1459430962948,90.5620711574074,5,1,5,2,1,1,0
1459430984807,90.5623241550926,2,3,2,1,2,1,1
1459431155666,90.5643016898148,4,1,4,1,4,1,1
1459431166187,90.56442346064814,14,7,7,2,7,0,1
1459431357630,90.56663923611111,5,7,5,1,5,0,1
1459431577340,90.56918217592592,4,5,5,2,5,1,1
1459431583160,90.56924953703704,13,5,5,2,5,1,1
1459431716227,90.57078966435184,2,8,8,2,8,0,1
1459431819070,90.57197997685184,9,11,9,1,9,1,1
1459431826521,90.57206621527776,9,2,9,1,9,1,1
1459431928278,90.57324395833334,10,8,8,2,8,1,1
1459431980162,90.5738444675926,4,9,9,2,9,1,1
1459432263194,90.57712030092593,10,1,10,1,10,1,1
1459432340877,90.57801940972224,6,14,6,1,6,0,1
1459432348136,90.57810342592592,10,4,10,1,10,0,1
