days_from_20160101,stimchoice1,stimchoice2,stimchosen,correct_stim,is_choice_color,chose_correct
28,3,4,3,3,1,1
28,2,9,2,9,1,0
28,9,4,9,9,1,1
28,12,11,12,11,0,0
28,12,2,12,12,0,1
28,7,10,7,7,0,1
28,13,8,8,13,1,0
28,3,8,3,8,0,0
28,12,9,12,9,0,0
28,3,12,3,12,0,0
28,6,2,6,6,1,1
28,3,9,3,9,1,0
28,2,6,2,6,1,0
28,5,12,5,5,0,1
28,9,1,9,1,0,0
28,7,2,7,2,1,0
28,10,5,10,10,0,1
28,5,8,5,8,0,0
28,4,5,4,5,0,0
28,9,6,9,6,1,0
28,10,9,10,9,1,0
28,5,3,5,5,0,1
28,3,9,3,3,1,1
28,12,6,12,12,0,1
28,2,4,2,4,0,0
28,10,2,10,10,1,1
28,2,13,2,13,0,0
28,10,9,10,10,0,1
28,11,3,11,3,0,0
28,5,9,5,9,1,0
28,4,12,4,4,0,1
28,7,3,7,3,0,0
28,2,6,2,6,1,0
28,3,0,3,3,0,1
28,11,5,11,11,0,1
28,12,12,12,12,0,1
28,10,5,10,10,1,1
28,7,3,7,7,1,1
28,12,3,12,12,1,1
28,10,11,10,11,1,0
28,2,12,2,12,1,0
28,3,9,3,3,0,1
28,6,9,6,6,0,1
28,12,10,12,10,0,0
28,5,0,5,5,1,1
28,5,0,5,0,0,0
28,10,8,10,8,1,0
28,4,1,4,4,1,1
28,13,13,13,13,0,1
28,8,5,8,5,1,0
28,4,5,4,5,1,0
28,3,10,3,10,1,0
28,8,7,8,8,0,1
28,9,7,9,9,0,1
28,9,1,9,1,1,0
28,8,7,8,7,1,0
28,10,1,10,10,0,1
28,1,8,1,1,1,1
28,13,12,13,12,0,0
28,1,5,1,5,1,0
28,4,6,4,6,1,0
28,8,5,8,5,1,0
28,1,3,1,3,0,0
28,3,10,3,10,1,0
28,3,9,3,9,1,0
28,12,6,12,12,0,1
28,0,5,0,0,0,1
28,8,10,8,10,1,0
28,7,5,7,7,0,1
28,9,2,9,2,0,0
28,6,7,6,6,1,1
28,11,5,11,11,1,1
28,4,6,4,4,0,1
28,7,3,7,3,1,0
28,10,7,10,10,1,1
28,9,2,9,2,0,0
28,7,12,7,7,0,1
28,10,9,10,9,1,0
28,10,11,10,10,0,1
28,12,10,12,10,0,0
28,13,12,13,13,0,1
28,1,10,1,1,1,1
28,7,3,7,7,0,1
28,9,0,9,0,0,0
28,12,4,12,4,1,0
28,4,11,4,11,0,0
28,0,13,0,0,1,1
28,13,11,13,11,0,0
28,8,10,8,10,1,0
28,4,11,4,4,1,1
28,1,5,1,1,1,1
28,11,12,11,11,0,1
28,4,9,4,9,0,0
28,4,3,4,4,0,1
28,1,13,1,1,0,1
28,7,2,7,2,0,0
28,4,11,4,11,1,0
28,5,8,5,8,0,0
28,5,10,5,5,1,1
28,12,4,12,4,1,0
28,10,0,0,0,1,1
28,6,4,6,4,0,0
28,4,10,4,4,1,1
28,9,6,9,6,1,0
28,13,1,13,13,1,1
28,8,8,8,8,0,1
28,13,7,13,7,1,0
28,8,0,8,0,1,0
28,12,1,12,12,0,1
28,2,7,2,7,0,0
28,12,7,12,12,1,1
28,0,12,0,0,0,1
28,10,4,10,4,0,0
28,2,1,2,1,0,0
28,7,5,7,5,1,0
28,3,9,3,9,1,0
28,4,3,4,4,0,1
28,13,4,13,13,1,1
28,4,3,3,3,0,1
28,3,7,3,7,1,0
28,9,8,9,8,1,0
28,2,4,2,4,1,0
28,8,13,8,8,0,1
28,3,4,3,4,1,0
28,5,8,5,5,1,1
28,11,13,11,13,1,0
28,3,5,3,3,1,1
28,5,9,5,9,0,0
28,2,12,2,12,1,0
28,9,0,9,0,0,0
28,5,9,5,5,1,1
28,11,7,11,7,0,0
28,8,2,8,2,1,0
28,11,4,11,11,1,1
28,6,1,6,1,0,0
28,3,5,3,5,1,0
28,0,13,0,0,0,1
28,2,2,2,2,0,1
28,6,4,4,6,1,0
28,11,12,11,11,0,1
28,3,7,3,7,0,0
28,9,8,9,9,1,1
28,8,11,11,11,0,1
31,12,2,12,2,0,0
