timestamp,days_from_20160101,stimchoice1,stimchoice2,stimchosen,correctidx,correct_stim,is_choice_color,chose_correct
1453895490428,26.494102175925924,10,4,4,1,10,0,0
1453895513326,26.494367199074073,14,5,5,2,5,0,1
1453895515340,26.494390509259258,14,14,14,2,14,1,1
1453895600072,26.495371203703705,1,9,1,2,9,0,0
1453895669223,26.496171562500002,5,1,5,2,1,1,0
1453895672284,26.496206990740742,10,7,10,1,10,0,1
1453895678103,26.49627434027778,7,5,7,1,7,0,1
1453895682945,26.496330381944443,12,10,12,1,12,1,1
1453895712428,26.496671620370368,2,12,12,1,2,1,0
1453895728344,26.496855833333335,1,9,1,2,9,0,0
1453895735427,26.4969378125,9,13,13,1,9,0,0
1453895748604,26.497090324074072,9,14,14,1,9,0,0
1453895942711,26.49933693287037,4,13,13,1,4,1,0
1453896052925,26.50061255787037,8,13,8,2,13,0,0
1453896059013,26.500683020833332,13,7,13,2,7,1,0
1453896065189,26.500754502314813,12,8,12,1,12,0,1
1453896079053,26.500914965277776,4,2,2,2,2,0,1
1453896090859,26.5010516087963,10,13,10,1,10,0,1
1453896127515,26.501475868055557,13,8,8,2,8,1,1
1453896149789,26.50173366898148,6,13,13,1,6,0,0
1453896234497,26.502714085648147,2,2,2,2,2,1,1
1453896242848,26.502810740740742,9,13,9,1,9,0,1
1453896260468,26.503014675925925,10,2,10,2,2,1,0
1453896375072,26.504341111111113,13,4,4,1,13,1,0
1453896455958,26.50527729166667,9,7,9,1,9,1,1
1453896466810,26.505402893518518,6,12,6,1,6,1,1
1453896469376,26.505432592592594,2,6,2,2,6,1,0
1453896498080,26.505764814814814,12,13,12,2,13,1,0
1453896693790,26.50802997685185,10,2,10,1,10,1,1
1453896927494,26.510734884259257,12,2,2,1,12,1,0
1453897068366,26.51236534722222,6,10,6,2,10,0,0
1453897088897,26.512602974537035,10,12,10,1,10,0,1
1453897300635,26.51505364583333,8,13,8,2,13,1,0
1453897305996,26.515115694444443,14,3,3,2,3,0,1
1453897308512,26.515144814814818,8,8,8,2,8,0,1
1453897385693,26.516038113425925,11,13,11,2,13,0,0
1453897409989,26.516319317129632,7,14,7,2,14,0,0
1453899188794,26.536907337962965,5,13,5,2,13,0,0
1453899285828,26.53803041666667,12,7,7,1,12,1,0
1453899312768,26.538342222222223,6,1,6,2,1,1,0
1453899333793,26.53858556712963,7,8,7,1,7,1,1
1453899479060,26.54026689814815,4,13,13,2,13,0,1
1453899503532,26.54055013888889,11,2,2,2,2,1,1
1453900692790,26.554314699074073,4,9,9,1,4,0,0
1453900708314,26.554494374999997,10,7,10,1,10,1,1
1453900713608,26.55455564814815,8,7,8,1,8,1,1
1453901300152,26.56134435185185,8,5,8,1,8,1,1
1453901315680,26.561524074074075,5,2,5,1,5,0,1
1453901326686,26.561651458333337,8,2,8,2,2,1,0
1453901362930,26.562070949074077,4,9,4,1,4,1,1
1453901365271,26.562098043981482,5,6,5,1,5,1,1
1453901380813,26.562277928240743,6,5,6,2,5,1,0
1453901383837,26.56231292824074,1,3,1,2,3,0,0
1453901396375,26.562458043981483,9,3,9,1,9,0,1
1453901456798,26.56315738425926,9,6,9,1,9,1,1
1453901757987,26.56664336805556,3,9,3,2,9,0,0
1453901893966,26.568217199074073,13,9,9,2,9,1,1
1453903518930,26.587024652777778,5,13,5,1,5,0,1
1453903940287,26.59190146990741,14,2,14,1,14,1,1
1453905260201,26.607178252314814,9,12,12,2,12,0,1
1453905335289,26.60804732638889,14,10,14,1,14,0,1
1453905341048,26.60811398148148,14,8,8,1,14,1,0
1453905346584,26.608178055555552,10,5,10,1,10,1,1
1453905371393,26.608465196759262,10,11,10,1,10,0,1
1453905389681,26.608676863425924,4,10,4,1,4,1,1
1453905394766,26.60873571759259,8,9,9,2,9,1,1
1453905476683,26.609683831018522,2,7,2,1,2,1,1
1453905485743,26.609788692129626,5,14,5,1,5,1,1
1453905513198,26.61010645833333,10,3,3,2,3,0,1
1453905581541,26.61089746527778,7,12,12,2,12,0,1
1453905952089,26.61518621527778,2,5,2,1,2,1,1
1453906179983,26.617823877314816,11,4,11,1,11,1,1
1453906203390,26.618094791666667,2,11,2,2,11,1,0
1453906226338,26.61836039351852,5,6,6,1,5,0,0
1453906274693,26.61892005787037,2,12,2,2,12,0,0
1453906285925,26.619050057870368,6,11,6,1,6,1,1
1453906298476,26.61919532407407,9,6,9,1,9,0,1
1453906309169,26.61931908564815,14,2,2,2,2,1,1
1453906323609,26.619486215277778,2,13,2,2,13,1,0
1453906616988,26.622881805555554,7,13,7,1,7,0,1
1453906794998,26.624942106481484,11,2,2,1,11,0,0
1453906798346,26.624980856481482,3,2,3,2,2,1,0
1453906846536,26.62553861111111,5,3,3,1,5,0,0
1453906955133,26.626795520833333,11,10,11,2,10,0,0
1453908025890,26.63918854166667,10,11,11,2,11,1,1
1453908053860,26.639512268518516,13,10,10,2,10,0,1
1453908061316,26.639598564814815,4,10,10,2,10,0,1
1453908068189,26.639678113425923,10,2,2,2,2,0,1
1453908165604,26.64080560185185,13,8,8,2,8,1,1
1453908479669,26.644440613425928,3,2,3,1,3,0,1
1453908481553,26.64446241898148,6,7,6,1,6,1,1
1453908570342,26.645490069444445,12,2,12,1,12,1,1
1453908577026,26.645567430555555,10,6,6,1,10,0,0
1453908582219,26.645627534722223,14,4,4,1,14,1,0
1453908584952,26.64565916666667,2,7,2,2,7,0,0
1453908587893,26.64569320601852,3,10,3,2,10,0,0
1453908620491,26.646070497685184,6,11,11,2,11,1,1
1453908623045,26.64610005787037,1,8,1,1,1,0,1
1453908628513,26.646163344907404,4,1,4,1,4,0,1
1453908630608,26.646187592592593,2,13,13,2,13,0,1
1453908635522,26.64624446759259,9,13,13,1,9,0,0
1453909443093,26.655591354166667,12,11,11,1,12,1,0
1453909446818,26.65563446759259,6,4,6,1,6,1,1
1453909469923,26.655901886574075,3,6,6,2,6,1,1
1453909597840,26.657382407407404,4,5,4,1,4,0,1
1453909638080,26.657848148148148,3,8,8,1,3,1,0
1453909647627,26.657958645833332,6,7,6,1,6,0,1
1453910660837,26.669685613425923,2,9,2,2,9,0,0
1453974521662,27.408815532407406,5,4,4,2,4,1,1
1453974772922,27.411723634259257,5,9,9,1,5,1,0
1453974777888,27.411781111111107,7,6,6,2,6,1,1
1453974784573,27.411858483796294,4,6,4,1,4,1,1
1453974789692,27.41191773148148,11,12,12,1,11,0,0
1453974792704,27.41195259259259,12,12,12,1,12,0,1
1453974804627,27.412090590277778,12,5,5,2,5,0,1
1453974809998,27.41215275462963,8,12,12,1,8,0,0
1453974824793,27.412323993055555,12,4,4,1,12,1,0
1453974895514,27.41314252314815,2,7,7,1,2,0,0
1453974906453,27.413269131944446,10,4,4,1,10,0,0
1453974915638,27.413375439814814,5,12,5,2,12,1,0
1453974940468,27.413662824074073,7,6,7,1,7,0,1
1453974950191,27.413775358796297,6,8,8,2,8,1,1
1453974979544,27.414115092592596,10,7,10,1,10,0,1
1453974983355,27.414159201388888,2,6,2,1,2,0,1
1453974994743,27.414291006944442,7,9,9,1,7,1,0
1453974997656,27.414324722222222,10,6,6,2,6,0,1
1453975005310,27.414413310185186,8,6,8,2,6,0,0
1453975021628,27.414602175925925,6,13,6,1,6,1,1
1453975027763,27.414673182870366,9,8,8,1,9,1,0
1453975047007,27.414895914351856,2,5,5,1,2,1,0
1453975062224,27.415072037037035,2,3,3,1,2,1,0
1453975073078,27.41519766203704,13,5,5,2,5,1,1
1453975104000,27.415555555555557,8,3,3,1,8,1,0
1453975109969,27.415624641203703,9,4,4,1,9,1,0
1453975112720,27.415656481481484,5,5,5,2,5,0,1
1453975122634,27.415771226851852,7,11,11,2,11,0,1
1453975139151,27.415962395833333,5,13,13,2,13,0,1
1453975182057,27.416458993055556,10,11,10,2,11,1,0
1453975205299,27.416727997685186,11,1,1,1,11,0,0
1453975223125,27.41693431712963,13,6,6,1,13,1,0
1453975225754,27.41696474537037,2,8,8,1,2,1,0
1453975238366,27.417110717592593,10,14,10,2,14,0,0
1453975265784,27.417428055555554,10,5,10,2,5,1,0
1453975275740,27.417543287037038,10,7,10,1,10,1,1
1453975334399,27.41822221064815,3,12,12,1,3,1,0
1453975378602,27.418733819444444,6,13,6,2,13,0,0
1453975502483,27.420167627314814,9,5,9,1,9,1,1
1453975509230,27.420245717592593,14,5,14,2,5,1,0
1453975572526,27.420978310185188,2,5,5,2,5,0,1
1453975587981,27.4211571875,6,11,6,2,11,1,0
1453975632268,27.42166976851852,6,8,6,2,8,0,0
1453975926337,27.425073344907407,1,4,1,2,4,0,0
1453976059737,27.42661732638889,6,13,13,1,6,0,0
1453976063588,27.426661898148147,3,9,9,1,3,1,0
1453976123066,27.427350300925927,13,3,13,2,3,1,0
1453976208540,27.428339583333333,1,5,1,1,1,0,1
1453976242863,27.428736840277775,10,3,10,2,3,1,0
1453976612039,27.433009710648147,8,7,7,1,8,0,0
1453976622683,27.433132905092595,9,1,9,1,9,0,1
1453976633537,27.433258530092594,11,10,10,1,11,1,0
1453977369212,27.441773287037034,6,6,6,1,6,1,1
1453977398232,27.442109166666665,6,1,1,1,6,1,0
1453977443193,27.442629548611112,4,8,4,1,4,0,1
1453977509308,27.44339476851852,7,4,7,1,7,1,1
1453977594404,27.444379675925926,6,9,9,1,6,0,0
1453977604651,27.444498275462962,12,9,9,1,12,1,0
1453977684428,27.445421620370368,13,6,6,2,6,0,1
1453977762780,27.44632847222222,10,2,2,2,2,0,1
1453977814427,27.446926238425927,2,7,2,1,2,0,1
1453977816405,27.446949131944443,5,13,13,1,5,0,0
1453977934932,27.448320972222223,5,10,10,1,5,1,0
1453978287495,27.4524015625,9,7,7,1,9,0,0
1453978300906,27.452556782407406,9,5,9,1,9,1,1
1453978408460,27.45380162037037,13,13,13,1,13,1,1
1453980082257,27.473174270833336,4,3,4,1,4,0,1
